Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-01,9040,12580,12710,12860,12850,12790,12660,11800,11800,11780,11840,11710,11870,11780,11740,12280,12260,12280,12260,12230,11270,11390,11330,11290,11280,11310,11270,14770,22400,22100,21610,21720,21590,21640,21960,21630,21730,21610,21630,21680,21620,21630,21740,22090,22170,22190,22180,20940,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-02,18660,18680,18250,18220,18150,18290,18170,18190,18200,18200,18160,18130,18650,18690,18780,20030,22130,22160,22000,21940,21600,12940,12830,12770,12510,12290,12310,12310,12310,12260,12290,12330,12290,12280,12350,12260,12290,12290,12360,12270,17050,22150,21950,22210,22310,22210,21220,12970,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-03,12870,12880,12890,12880,12900,12870,12860,12860,12860,12850,12840,12810,12770,12810,13200,17170,22570,22650,22730,22200,21670,21630,23170,23670,23620,23550,22690,22660,11430,10850,10830,10790,10790,10330,9810,9810,9810,9840,9820,9820,10120,11290,11370,11270,11350,11310,11350,11320,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-04,11340,12340,12320,12160,11340,11320,11310,11340,11350,11280,11300,12350,12440,12850,12900,12910,12920,12920,12920,12900,12270,12320,12290,11680,11230,11370,11290,11280,11290,11300,11300,11350,11280,11250,11730,11830,17610,22140,22150,22120,22170,22190,22180,20700,12650,12300,12330,12290,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-05,12310,12300,12310,12310,12310,12290,12320,12310,12310,12330,12310,12290,12310,19450,21680,21660,21690,21650,21610,21700,21650,21680,20160,18660,18750,18620,18820,18680,18060,21320,21940,21830,21640,21680,21670,21640,21660,21650,21690,21570,14280,11870,11800,9350,7900,7840,7840,7830,7950,7880
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-06,7900,7740,7850,7840,7830,7850,7840,7870,7860,7850,7860,7860,7890,7790,7860,7840,7870,7850,7840,7850,7870,7860,7880,7850,9080,19830,23610,23650,23620,23700,23670,23650,23650,23610,23690,23550,23670,23640,23610,23720,23260,12170,11850,11800,10720,9810,8640,8350,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-07,8350,8350,8360,8150,8500,8430,8350,8310,8400,8400,8350,8310,8420,11520,19420,22360,21770,22110,22560,22640,22650,23710,25020,25110,25080,24920,24030,24240,23910,23220,23120,23180,23170,25490,26030,26030,26020,25980,26030,25990,26020,25080,24880,25080,25090,25110,25150,25140,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-08,25110,25120,25150,25170,25100,25670,26050,26120,26100,26060,26080,25960,26120,25990,25950,25970,26040,26000,27890,22730,23530,23810,25470,26030,25890,25960,30720,33540,33390,33450,33400,33410,26120,25950,33940,34430,34180,34480,25580,23580,23610,23570,23690,23580,23620,25500,25680,16690,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-09,12130,9420,8330,8330,8410,8330,8370,8350,8490,8330,8250,8320,8370,8290,8280,8340,8340,8340,8360,8410,8020,7820,7870,7880,7800,7880,7830,8260,7810,7850,7700,7880,7900,7830,7830,7810,7790,9230,8150,7870,7860,7780,7850,7830,7840,7860,7820,7870,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2026-04-10,7890,7890,7800,7880,7840,7860,7820,7810,7850,7860,7890,7860,7820,7840,7840,7820,12140,12300,12300,7910,7820,7850,7850,7850,7840,10190,10360,9000,7860,7870,7870,7840,7870,7850,7840,7830,7820,7820,7870,7900,7850,7840,7880,7820,7850,7830,7890,7830,,
